Date,UID
2015-01-01,1
2015-01-02,3
2015-01-03,1
2015-01-04,5
2015-01-05,1
2015-01-06,7
2015-01-07,7
2015-01-08,5
2015-01-09,3
2015-01-11,5
2015-01-13,3
2015-01-14,9
2015-01-15,9
2015-01-16,6
2015-01-17,4
2015-01-18,4
2015-01-19,1
2015-01-20,1
2015-01-21,6
2015-01-22,3
2015-01-23,3
2015-01-24,3
2015-01-25,2
2015-01-26,7
2015-01-27,7
2015-01-28,4
2015-01-29,3
2015-01-30,1
2015-01-31,4
2015-02-01,1
2015-02-02,4
2015-02-03,6
2015-02-04,7
2015-02-05,2
2015-02-06,1
2015-02-07,3
2015-02-08,7
2015-02-09,4
2015-02-10,5
2015-02-11,3
2015-02-12,1
2015-02-13,6
2015-02-14,2
2015-02-15,5
2015-02-16,5
2015-02-17,9
2015-02-18,2
2015-02-20,7
2015-02-21,2
2015-02-22,4
2015-02-23,7
2015-02-24,1
2015-02-25,5
2015-02-26,6
2015-02-27,2
2015-02-28,10
2015-03-01,6
2015-03-02,1
2015-03-03,2
2015-03-04,2
2015-03-05,4
2015-03-06,6
2015-03-07,2
2015-03-08,5
2015-03-09,5
2015-03-10,8
2015-03-11,7
2015-03-12,2
2015-03-13,7
2015-03-14,3
2015-03-15,2
2015-03-16,3
2015-03-17,9
2015-03-18,5
2015-03-19,10
2015-03-20,4
2015-03-21,7
2015-03-22,6
2015-03-23,1
2015-03-24,6
2015-03-25,6
2015-03-26,3
2015-03-27,9
2015-03-28,2
2015-03-29,4
2015-03-30,5
2015-03-31,8
2015-04-01,3
2015-04-02,9
2015-04-03,4
2015-04-04,7
2015-04-05,3
2015-04-06,4
2015-04-07,1
2015-04-08,8
2015-04-09,8
2015-04-10,4
2015-04-11,2
2015-04-12,4
2015-04-13,3
2015-04-14,2
2015-04-15,8
2015-04-16,3
2015-04-17,4
2015-04-18,3
2015-04-19,4
2015-04-20,2
2015-04-21,7
2015-04-22,7
2015-04-23,5
2015-04-24,5
2015-04-25,4
2015-04-26,5
2015-04-27,2
2015-04-28,4
2015-04-29,9
2015-04-30,5
2015-05-02,1
2015-05-03,7
2015-05-04,2
2015-05-05,5
2015-05-06,2
2015-05-07,4
2015-05-08,6
2015-05-09,2
2015-05-10,3
2015-05-11,4
2015-05-12,7
2015-05-14,3
2015-05-15,4
2015-05-16,1
2015-05-17,14
2015-05-19,6
2015-05-20,8
2015-05-21,7
2015-05-22,2
2015-05-23,4
2015-05-25,4
2015-05-26,4
2015-05-27,8
2015-05-28,5
2015-05-29,4
2015-05-30,3
2015-05-31,6
2015-06-01,2
2015-06-02,3
2015-06-03,7
2015-06-04,1
2015-06-05,3
2015-06-06,7
2015-06-07,2
2015-06-08,6
2015-06-09,7
2015-06-10,2
2015-06-11,9
2015-06-12,2
2015-06-13,6
2015-06-14,3
2015-06-15,2
2015-06-16,3
2015-06-17,3
2015-06-18,1
2015-06-19,4
2015-06-20,2
2015-06-21,3
2015-06-22,5
2015-06-23,6
2015-06-24,2
2015-06-25,3
2015-06-26,2
2015-06-27,1
2015-06-28,2
2015-06-29,2
2015-06-30,2
2015-07-01,3
2015-07-02,6
2015-07-03,4
2015-07-04,6
2015-07-05,7
2015-07-06,6
2015-07-07,10
2015-07-08,2
2015-07-09,8
2015-07-10,5
2015-07-11,3
2015-07-12,8
2015-07-13,6
2015-07-14,3
2015-07-15,1
2015-07-16,9
2015-07-17,7
2015-07-18,6
2015-07-19,1
2015-07-20,5
2015-07-21,3
2015-07-22,4
2015-07-23,9
2015-07-24,3
2015-07-25,6
2015-07-26,2
2015-07-27,3
2015-07-28,2
2015-07-29,5
2015-07-30,4
2015-07-31,5
2015-08-01,4
2015-08-02,2
2015-08-03,6
2015-08-04,2
2015-08-05,8
2015-08-06,3
2015-08-07,10
2015-08-08,5
2015-08-09,5
2015-08-10,2
2015-08-11,3
2015-08-12,7
2015-08-14,5
2015-08-15,7
2015-08-16,3
2015-08-17,2
2015-08-19,6
2015-08-20,4
2015-08-21,5
2015-08-22,7
2015-08-23,8
2015-08-25,7
2015-08-26,3
2015-08-27,4
2015-08-28,6
2015-08-29,5
2015-08-30,4
2015-08-31,3
2015-09-01,5
2015-09-02,2
2015-09-03,2
2015-09-04,10
2015-09-05,8
2015-09-06,3
2015-09-07,3
2015-09-08,2
2015-09-09,7
2015-09-10,8
2015-09-11,2
2015-09-12,3
2015-09-13,3
2015-09-14,5
2015-09-15,6
2015-09-16,4
2015-09-17,3
2015-09-18,4
2015-09-19,2
2015-09-20,3
2015-09-21,8
2015-09-22,7
2015-09-23,8
2015-09-24,4
2015-09-25,3
2015-09-26,2
2015-09-27,4
2015-09-28,2
2015-09-29,5
2015-09-30,2
2015-10-02,7
2015-10-03,1
2015-10-04,4
2015-10-05,5
2015-10-06,2
2015-10-07,1
2015-10-09,4
2015-10-10,6
2015-10-11,5
2015-10-12,3
2015-10-13,1
2015-10-14,9
2015-10-15,13
2015-10-16,5
2015-10-17,5
2015-10-18,3
2015-10-19,1
2015-10-20,8
2015-10-21,5
2015-10-22,4
2015-10-24,9
2015-10-25,1
2015-10-26,4
2015-10-27,2
2015-10-28,7
2015-10-29,4
2015-10-30,6
2015-10-31,2
2015-11-01,4
2015-11-02,3
2015-11-03,1
2015-11-04,5
2015-11-05,5
2015-11-06,6
2015-11-07,1
2015-11-09,7
2015-11-10,5
2015-11-11,7
2015-11-12,2
2015-11-13,4
2015-11-14,2
2015-11-15,5
2015-11-16,3
2015-11-17,9
2015-11-18,3
2015-11-19,4
2015-11-20,4
2015-11-21,2
2015-11-22,5
2015-11-23,2
2015-11-24,5
2015-11-25,4
2015-11-26,2
2015-11-27,1
2015-11-28,1
2015-11-29,6
2015-11-30,3
2015-12-01,3
2015-12-02,8
2015-12-03,3
2015-12-04,3
2015-12-05,6
2015-12-06,3
2015-12-07,1
2015-12-08,3
2015-12-09,5
2015-12-10,7
2015-12-11,1
2015-12-12,8
2015-12-13,6
2015-12-14,11
2015-12-15,2
2015-12-16,1
2015-12-17,2
2015-12-18,4
2015-12-19,4
2015-12-20,5
2015-12-21,10
2015-12-22,6
2015-12-23,1
2015-12-24,6
2015-12-25,1
2015-12-26,5
2015-12-27,5
2015-12-28,1
2015-12-29,3
2015-12-30,3
2015-12-31,1
